date,1. open,2. high,3. low,4. close,5. volume
2024-11-08 20:00:00,598.19,598.19,598.19,598.19,858872.0
2024-11-08 19:00:00,598.04,598.19,595.61,597.975,37285.0
2024-11-08 18:00:00,598.03,598.19,597.81,598.04,872627.0
2024-11-08 17:00:00,597.98,598.19,597.7,598.03,223043.0
2024-11-08 16:00:00,598.24,598.43,595.6459,597.92,9790503.0
2024-11-08 15:00:00,598.92,598.98,597.62,598.24,13676393.0
2024-11-08 14:00:00,599.015,599.64,598.67,598.91,4368372.0
2024-11-08 13:00:00,598.09,599.21,597.96,599.01,3695141.0
2024-11-08 12:00:00,597.9399,598.35,597.44,598.09,3252570.0
2024-11-08 11:00:00,597.785,598.22,597.34,597.91,3891870.0
2024-11-08 10:00:00,597.2,597.985,596.5708,597.78,4997807.0
2024-11-08 09:00:00,595.53,597.24,595.44,597.16,3588508.0
2024-11-08 08:00:00,596.2332,596.67,588.75,595.53,219679.0
2024-11-08 07:00:00,595.37,595.95,595.29,595.9,236500.0
2024-11-08 06:00:00,595.08,595.45,594.72,595.33,48980.0
2024-11-08 05:00:00,596.32,596.32,594.76,595.14,88446.0
2024-11-08 04:00:00,595.6,596.68,595.6,596.3,33885.0
2024-11-07 20:00:00,595.61,595.61,595.61,595.61,1232145.0
2024-11-07 19:00:00,596.1,596.2097,595.7,595.73,37457.0
2024-11-07 18:00:00,596.1,596.14,591.04,596.065,1343073.0
2024-11-07 17:00:00,595.96,596.1678,595.61,596.13,893944.0
2024-11-07 16:00:00,595.55,596.26,571.11,595.96,9076558.0
2024-11-07 15:00:00,596.025,596.65,595.18,595.55,12066368.0
2024-11-07 14:00:00,594.78,596.03,593.92,596.02,4802505.0
2024-11-07 13:00:00,595.4,595.44,594.21,594.8062,4189143.0
2024-11-07 12:00:00,595.14,595.56,594.76,595.3913,3948625.0
2024-11-07 11:00:00,594.83,595.28,594.1,595.135,4191030.0
2024-11-07 10:00:00,593.97,594.965,593.78,594.8165,5497921.0
2024-11-07 09:00:00,592.7,594.05,592.49,594.0,4243257.0
2024-11-07 08:00:00,592.1862,593.05,590.9677,592.66,324162.0
2024-11-07 07:00:00,592.37,592.86,592.24,592.66,142324.0
2024-11-07 06:00:00,592.39,592.46,591.84,592.46,57565.0
2024-11-07 05:00:00,592.04,592.45,592.03,592.39,59874.0
2024-11-07 04:00:00,590.8,592.6,590.8,592.1,55863.0
2024-11-06 20:00:00,591.04,591.04,591.04,591.04,2770730.0
2024-11-06 19:00:00,590.865,591.33,590.33,590.4999,67957.0
2024-11-06 18:00:00,591.55,591.58,576.7,590.875,3241864.0
2024-11-06 17:00:00,591.83,591.89,591.04,591.5,1055642.0
2024-11-06 16:00:00,591.03,591.87,589.1577,591.84,12952515.0
2024-11-06 15:00:00,590.54,591.93,590.45,591.04,14877282.0
2024-11-06 14:00:00,590.28,590.85,589.79,590.54,4287323.0
2024-11-06 13:00:00,589.26,590.71,589.12,590.27,5056290.0
2024-11-06 12:00:00,588.77,589.48,588.3101,589.265,4987367.0
2024-11-06 11:00:00,586.99,588.86,586.31,588.78,5893488.0
2024-11-06 10:00:00,586.12,589.08,586.12,587.02,9680778.0
2024-11-06 09:00:00,588.64,589.43,570.225,586.11,11464571.0
2024-11-06 08:00:00,587.65,590.63,576.7,588.66,1069590.0
2024-11-06 07:00:00,587.76,590.43,587.46,589.7,838071.0
2024-11-06 06:00:00,589.57,590.0,587.24,587.8,411046.0
2024-11-06 05:00:00,590.08,590.75,589.29,589.57,285716.0
2024-11-06 04:00:00,580.13,590.6,580.13,590.1,325569.0
2024-11-05 20:00:00,576.7,576.7,576.7,576.7,1118147.0
2024-11-05 19:00:00,576.97,579.94,569.81,579.14,358833.0
2024-11-05 18:00:00,577.41,577.75,576.7,576.99,1233721.0
2024-11-05 17:00:00,577.5,577.59,540.6275,577.39,383174.0
2024-11-05 16:00:00,576.68,577.63,569.5766,577.55,5688445.0
2024-11-05 15:00:00,575.0,576.71,574.7437,576.68,8342871.0
2024-11-05 14:00:00,575.23,575.87,574.7,575.0,3408143.0
